date,pm2_5_mean,pm10_mean,carbon_monoxide_mean,dust_mean,temperature_mean,humidity_mean,wind_speed_mean,precipitation_sum,pressure_mean,wind_direction_mean_deg,location,exceeds_pcd_moderate,consecutive_bad_days,target_next_day_pm2_5,target_next_day_exceeds
2023-01-01,28.041666666666668,40.375,1588.5833333333333,0.0,21.095833333333335,72.20833333333333,4.2250000000000005,0.0,981.3791666666666,33.24916404952455,chiang_mai,False,0,28.200000000000003,False
2023-01-02,28.200000000000003,40.56666666666667,1792.6666666666667,0.0,20.641666666666666,66.95833333333333,4.529166666666667,0.0,981.9166666666666,317.8387890697123,chiang_mai,False,0,21.95,False
2023-01-03,21.95,31.558333333333334,1381.875,0.0,20.2375,68.375,4.645833333333333,0.0,981.9250000000001,300.4026771427265,chiang_mai,False,0,26.1875,False
2023-01-04,26.1875,37.62916666666667,1475.75,0.0,21.504166666666666,72.625,4.379166666666666,0.0,981.25,343.66325210813943,chiang_mai,False,0,24.454166666666666,False
2023-01-05,24.454166666666666,35.0625,1562.8333333333333,0.0,22.583333333333332,70.29166666666667,3.9875000000000003,0.0,980.8625000000001,4.416652002108094,chiang_mai,False,0,16.158333333333335,False
2023-01-06,16.158333333333335,23.166666666666668,1001.2083333333334,0.0,22.212500000000002,62.041666666666664,6.354166666666667,0.0,981.7666666666668,349.22847855265377,chiang_mai,False,0,16.104166666666668,False
2023-01-07,16.104166666666668,23.016666666666666,856.6666666666666,0.0,20.820833333333333,52.666666666666664,8.7875,0.0,980.6083333333332,356.19381911923523,chiang_mai,False,0,24.1375,False
2023-01-08,24.1375,34.520833333333336,1491.4166666666667,0.0,19.441666666666666,64.0,4.683333333333334,0.0,979.5500000000001,12.058785496860196,chiang_mai,False,0,28.145833333333332,False
2023-01-09,28.145833333333332,40.266666666666666,1714.5833333333333,0.0,20.8625,65.08333333333333,4.220833333333333,0.0,979.775,6.6673752501837384,chiang_mai,False,0,28.929166666666664,False
2023-01-10,28.929166666666664,41.420833333333334,1678.125,0.0,22.508333333333336,65.95833333333333,3.9125,0.0,978.0500000000001,12.07973973251842,chiang_mai,False,0,32.25416666666667,False
2023-01-11,32.25416666666667,46.17083333333333,1631.2083333333333,0.0,23.108333333333334,68.83333333333333,4.5249999999999995,0.8,976.1875,179.4038774599668,chiang_mai,False,0,23.4875,False
2023-01-12,23.4875,33.67916666666667,1088.0416666666667,0.0,22.558333333333334,70.70833333333333,5.154166666666667,0.0,975.225,23.17301583133178,chiang_mai,False,0,25.816666666666666,False
2023-01-13,25.816666666666666,36.96666666666667,1632.9166666666667,0.0,21.412499999999998,64.375,4.425,0.0,976.0124999999999,20.2729097293539,chiang_mai,False,0,27.004166666666666,False
2023-01-14,27.004166666666666,38.63333333333333,1686.9166666666667,0.0,20.829166666666666,62.708333333333336,3.8958333333333335,0.0,974.7041666666668,357.03271569756413,chiang_mai,False,0,30.75,False
2023-01-15,30.75,44.04583333333333,1910.375,0.25,21.47083333333333,55.833333333333336,3.4499999999999997,0.0,974.8458333333333,345.7330567350562,chiang_mai,False,0,28.650000000000002,False
2023-01-16,28.650000000000002,41.025,1595.5833333333333,0.0,20.875,56.166666666666664,4.0,0.0,976.2791666666667,291.4649999818644,chiang_mai,False,0,26.441666666666666,False
2023-01-17,26.441666666666666,37.887499999999996,1188.0416666666667,0.0,21.545833333333334,64.95833333333333,4.8999999999999995,0.0,977.7416666666667,263.17985463931427,chiang_mai,False,0,30.383333333333336,False
2023-01-18,30.383333333333336,43.550000000000004,1210.5416666666667,0.0,22.537499999999998,69.83333333333333,5.345833333333334,0.0,979.4041666666667,222.96726951478396,chiang_mai,False,0,29.349999999999998,False
2023-01-19,29.349999999999998,42.104166666666664,1422.0416666666667,0.0,22.27916666666667,68.79166666666667,5.4375,0.0,979.0916666666667,232.37025295754714,chiang_mai,False,0,30.083333333333332,False
2023-01-20,30.083333333333332,43.12916666666666,1325.0416666666667,0.125,22.304166666666664,64.70833333333333,4.9624999999999995,0.0,978.9583333333334,209.97183051351567,chiang_mai,False,0,28.72083333333333,False
2023-01-21,28.72083333333333,41.17916666666667,1291.6666666666667,0.0,22.21666666666667,59.5,3.7083333333333335,0.0,978.0,240.76938697721317,chiang_mai,False,0,30.420833333333334,False
2023-01-22,30.420833333333334,43.574999999999996,1338.5833333333333,0.0,22.71666666666667,56.791666666666664,3.625,0.0,976.7458333333334,258.57727184032717,chiang_mai,False,0,29.816666666666666,False
2023-01-23,29.816666666666666,42.72083333333333,698.0416666666666,0.0,22.3625,58.666666666666664,3.1666666666666665,0.0,975.8291666666668,270.5076302115671,chiang_mai,False,0,34.42916666666667,False
2023-01-24,34.42916666666667,49.333333333333336,750.2083333333334,0.0,22.1375,59.041666666666664,5.7375,0.0,977.8583333333332,356.4321253258272,chiang_mai,False,0,33.391666666666666,False
2023-01-25,33.391666666666666,47.84166666666667,904.0416666666666,0.0,22.162499999999998,55.875,4.920833333333333,0.0,977.8874999999999,219.2118249309038,chiang_mai,False,0,30.383333333333336,False
2023-01-26,30.383333333333336,43.487500000000004,1156.625,0.0,22.25,58.541666666666664,4.791666666666667,0.0,976.8333333333334,219.26932001804272,chiang_mai,False,0,37.24583333333333,False
2023-01-27,37.24583333333333,53.44166666666666,1512.125,0.0,22.712500000000002,62.5,4.0249999999999995,0.0,977.1708333333332,247.22635536501434,chiang_mai,False,0,30.3,False
2023-01-28,30.3,43.5625,1437.1666666666667,0.0,22.579166666666666,60.666666666666664,4.841666666666667,0.0,977.9833333333332,246.50117702392401,chiang_mai,False,0,35.62916666666667,False
2023-01-29,35.62916666666667,51.06666666666666,1934.625,0.0,21.53333333333333,63.708333333333336,3.9875000000000003,0.0,979.5749999999999,330.3060005131097,chiang_mai,False,0,44.4375,True
2023-01-30,44.4375,63.57916666666667,2430.0416666666665,0.0,20.266666666666666,61.708333333333336,5.0125,0.0,980.1875,353.9684912911263,chiang_mai,True,2,44.62916666666666,True
2023-01-31,44.62916666666666,63.85833333333333,2413.3333333333335,0.0,21.2375,61.666666666666664,4.379166666666666,0.0,976.6791666666667,237.5304949951638,chiang_mai,True,3,39.57083333333333,True
